Arches_National_Park,UT,76519
Badlands_National_Park,SD,242756
Big_Bend_National_Park,TX,801163
Biscayne_National_Park,FL,172924
Canyonlands_National_Park,UT,337598
Capitol_Reef_National_Park,UT,241904
Channel_Islands_National_Park,CA,249561
Crater_Lake_National_Park,OR,183224
Denali_National_Park_and_Preserve,AK,3372402
Death_Valley_National_Park,CA,4740912
Dry_Tortugas_National_Park,FL,64701
Everglades_National_Park,FL,1508538
Gates_Of_The_Arctic_National_Park_and_Preserve,AK,7523898
Glacier_National_Park,MT,1013572
Glacier_Bay_National_Park_and_Preserve,AK,3224840
Great_Basin_National_Park,NV,77180
Grand_Canyon_National_Park,AZ,1217403
Great_Smoky_Mountains_National_Park,TN,521490
Grand_Teton_National_Park,WY,309995
Guadalupe_Mountains_National_Park,TX,86416
Hawaii_Volcanoes_National_Park,HI,323431
Isle_Royale_National_Park,MI,571790
Joshua_Tree_National_Park,CA,789745
Katmai_National_Park_and_Preserve,AK,3674530
Kenai_Fjords_National_Park,AK,669983
Kobuk_Valley_National_Park,AK,1750717
Lake_Clark_National_Park_and_Preserve,AK,2619733
Lassen_Volcanic_National_Park,CA,106372
Mammoth_Cave_National_Park,KY,52830
Mesa_Verde_National_Park,CO,52122
Mount_Rainier_National_Park,WA,235625
North_Cascades_National_Park,WA,504781
Olympic_National_Park,WA,922651
Petrified_Forest_National_Park,AZ,93533
Redwood_National_Park,CA,112512
Rocky_Mountain_National_Park,CO,265828
Saguaro_National_Park,AZ,91440
Sequoia_and_Kings_Canyon_National_Parks,CA,865952
Shenandoah_National_Park,VA,199045
Theodore_Roosevelt_National_Park,ND,70447
Voyageurs_National_Park,MN,218200
Wrangell_-_St_Elias_National_Park_and_Preserve,AK,8323148
Yellowstone_National_Park,WY,2219791
Yosemite_National_Park,CA,761266
Zion_National_Park,UT,146598
